Prezime,Ime,OIB,MBG,OI,Adresa,Mjesto,Pbroj,Adr_rac,Tel,Mob,Mail,OMM,TM,OMM_adresa,OMM_Pbroj,OMM_mjesto,PROIZVOD,Dana,Agent
Matijević,Iva,25244070704,,592943268,Nemčićeva 2,Sesvete-Kraljevec,10361,,+3851414874,+385911758462,,8588483395,PLAVI,,,,IDEAL,4/21/2017,001
Lukić,Marko,97744153927,,,Erdodyeva 70,Zaprešić,10290,,,+385991019772,,4825596127,BIJELI,,,,IDEAL,5/1/2017,005
Marić,Marko,95547255941,1420208300826,281175766,Račkoga 27,Zagreb,10000,"Teslina 86, 10040 Zagreb-Dubrava",+3851197771,,,7592726783,PLAVI,,,,IDEAL,4/24/2017,002
Erceg,Ivano,66374273433,,,Biankinijeva 46,Sesvete-Kraljevec,10361,"Ulica kneza Višeslava 1, 10362 Kašina",,+385912703844,Ivano.Erceg@yahoo.com,7682687497,PLAVI,,,,IDEAL,3/6/2017,004
Mikulić,Leon,03634310298,,118285587,Makančeva 93,Donji Dragonožec,10253,,,+385994223482,Leon.Mikulic@yahoo.com,2425771192,BIJELI,,,,IDEAL,4/4/2017,001
Marjanović,Mia,61813649229,4625253554966,623038843,Palmotićeva 23,Donji Dragonožec,10253,,,+385911787735,,7326243155,CRVENI,,,,KLASIK,3/11/2017,003
Vuković,David,36949665081,3317933324354,838835893,Ulica kneza Mislava 81,Sesvete,10360,,+3851784466,+385912979526,David.Vukovic@yahoo.com,1290524470,BIJELI,,,,IDEAL,4/3/2017,003
Vrdoljak,Marta,91622518211,1644534454295,851022014,Ulica kraljice Jelene 28,Donji Dragonožec,10253,"Hebrangova 24, 10361 Sesvete-Kraljevec",+3851495700,+385917311833,Marta.Vrdoljak@yahoo.com,1323444648,BIJELI,,,,IDEAL,4/13/2017,003
Tadić,Luka,74727586522,,,Tkalčićeva 92,Belovar,10363,,,+385996204587,,3186701138,BIJELI,,,,IDEAL,1/27/2017,005
Pavičić,Luka,08759576660,,403606529,Ulica Ivana Gorana Kovačića 64,Sesvete-Kraljevec,10361,"Ulica Šandora Brešćanskoga 60, 10257 Brezovica",+3851244680,,,1194030797,BIJELI,,,,BONUS,4/10/2017,002
Stanković,Sara,78302842834,7802732390103,,Sermageova 70,Brezovica,10257,,,+385998403082,Sara.Stankovic@yahoo.com,6393651479,CRVENI,,,,BONUS,1/3/2017,005
Matić,Iva,24201221828,,,Krajiška 24,Kašina,10362,"Petrićeva 12, 10257 Brezovica",,+385919058800,,4699921401,CRVENI,,,,IDEAL,2/1/2017,002
Ilić,David,91984246280,,142585941,Bauerova 80,Sesvete,10360,,+3851660778,,,5326093174,BIJELI,,,,IDEAL,1/17/2017,002
Štimac,Ivano,18241683793,,,Ulica kraljice Jelene 75,Sesvete-Kraljevec,10361,,,+385911196842,,4573429288,BIJELI,,,,IDEAL,1/16/2017,003
Kolar,Ana,40462686199,9749382144382,,Hrvojeva 30,Zaprešić,10290,"Plemićeva 15, 10360 Sesvete",+3851715606,+385912609316,Ana.Kolar@yahoo.com,3547468085,BIJELI,,,,IDEAL,4/11/2017,004
Lučić,Marta,69608645448,9614877918842,,Dolac 53,Sesvete-Kraljevec,10361,,+3851554381,,,3491803376,CRVENI,,,,BONUS,4/30/2017,002
Stanić,Jakov,50252352702,3979802718030,,Ivana Brkanovića 47,Zaprešić,10290,"Ulica Ivana Trnskog 36, 10090 Zagreb-Susedgrad",,+385994937184,Jakov.Stanic@gmail.com,7663065561,BIJELI,,,,IDEAL,3/15/2017,003
Marić,Nika,72560585788,8323259373211,110083583,Nodilova 98,Sesvete,10360,,+3851545138,,Nika.Maric@hotmail.com,4756870084,BIJELI,,,,BONUS,2/8/2017,005
Horvatić,Luka,42527014320,,,Jurišićeva 96,Kašina,10362,,,+385916292912,Luka.Horvatic@yahoo.com,6003975479,PLAVI,Rooseveltov trg 24,10253,Donji,BONUS,3/20/2017,005
Milić,Ana,85326634381,,891738726,Savska 71,Zagreb-Novi Zagreb,10020,"Jagićeva 19, 10361 Sesvete-Kraljevec",,+385999732676,,2369624112,BIJELI,,,,IDEAL,3/22/2017,003
Mikulić,Mia,94767445870,3401074850775,,Branimirova 37,Sesvete-Kraljevec,10361,"Ulica Elenore Patačić 7, 10010 Zagreb-Sloboština",+3851410786,+385913243396,Mia.Mikulic@gmail.com,5067028066,BIJELI,,,,IDEAL,3/2/2017,003
Mijatović,Ema,56173667514,2552729938023,,Rokova ulica 95,Lučko,10250,,,+385918611471,,3880044306,PLAVI,,,,KLASIK,3/8/2017,002
Milošević,Luka,04548268542,6609760979556,,Krvavi most 3,Sesvete,10360,"Praška 52, 10040 Zagreb-Dubrava",+3851103600,+38591444457,Luka.Milosevic@gmail.com,2345510809,BIJELI,,,,KLASIK,3/4/2017,001
Ljubić,Ana,24313868425,,197369102,Marićev prolaz 14,Brezovica,10257,,,+385996773884,Ana.Ljubic@yahoo.com,6856000715,PLAVI,Nemčićeva 30,10362,Kašina,IDEAL,4/30/2017,005
Mandić,Leon,43854410095,3522665327038,,Hrvojeva 81,Kašina,10362,"Crnatkova 69, 10360 Sesvete",+3851469199,,Leon.Mandic@gmail.com,1728582147,BIJELI,Bulićeva 67,10020,Zagreb-Novi,IDEAL,1/13/2017,004
Jukić,Ivano,44634981178,3490572892356,529280646,Trg Petra Krešimira IV. 15,Donji Dragonožec,10253,"Ulica Šandora Brešćanskoga 100, 10362 Kašina",,+385913746519,,2051089662,BIJELI,,,,IDEAL,1/13/2017,002
Antunović,Filip,55800810109,9061307934316,,Ulica fra Filipa Grabovca 14,Zagreb-Novi Zagreb,10020,"Gajeva 99, 10362 Kašina",+3851463567,,Filip.Antunovic@yahoo.com,4995964751,PLAVI,,,,IDEAL,2/11/2017,001
Bačić,Petar,56442290900,,972037220,Rakovčeva 27,Brezovica,10257,,+3851715223,+385919219720,Petar.Bacic@yahoo.com,5319009450,BIJELI,,,,IDEAL,4/10/2017,003
Bogdan,Petar,59344581135,,,Vlaška 26,Zagreb,10000,"Dukljaninova 82, 10290 Zaprešić",+3851555403,+385913585674,Petar.Bogdan@yahoo.com,5986007557,PLAVI,,,,KLASIK,2/19/2017,002
Lučić,Mia,18435504413,,,Mihanovićeva 4,Sesvete-Kraljevec,10361,,,+385915985708,Mia.Lucic@gmail.com,9214968313,BIJELI,Kačićeva 41,10010,Zagreb-Sloboština,KLASIK,1/9/2017,005
Vrdoljak,Nika,71806614977,7126553365493,654241700,Vladimira Stahuljaka 46,Zagreb-Novi Zagreb,10020,"Boškovićeva 97, 10362 Kašina",+3851155311,,,3047229700,PLAVI,,,,IDEAL,2/1/2017,003
Erceg,Leon,45786337059,7566703304273,408564142,Đorđićeva 85,Zagreb-Novi Zagreb,10020,,+3851814371,+385917757179,Leon.Erceg@yahoo.com,9089427199,PLAVI,,,,IDEAL,2/10/2017,001
Marinović,Iva,18604148628,,404133644,Račkoga 46,Lučko,10250,,,+385912254554,Iva.Marinovic@hotmail.com,3615616922,BIJELI,,,,BONUS,1/1/2017,003
Marinović,Matej,68181765916,,235802336,Ivana Langa 86,Sesvete,10360,,+3851460269,+38591775282,Matej.Marinovic@hotmail.com,3091506465,BIJELI,,,,IDEAL,4/16/2017,003
Tadić,Mia,59930091141,,,Nodilova 19,Kašina,10362,"Perkovčeva 87, 10361 Sesvete-Kraljevec",+3851217480,+385919018888,Mia.Tadic@gmail.com,2295931368,PLAVI,,,,IDEAL,3/19/2017,001
Grubišić,Petar,48607174718,,,Nova Ves 18,Donji Dragonožec,10253,,,+385914647855,,6253014710,BIJELI,,,,BONUS,3/10/2017,002
Martinović,Ivano,11528147321,8315810764599,252323605,Streljačka 41,Kašina,10362,,+3851857163,,Ivano.Martinovic@yahoo.com,4353626315,PLAVI,,,,BONUS,1/10/2017,005
Marić,Matej,05508433381,,,Heinzelova 47,Sesvete,10360,"Rooseveltov trg 29, 10362 Kašina",+3851678619,+385918251350,,5671470586,BIJELI,,,,IDEAL,3/19/2017,002
Novosel,David,48175885956,2067223274786,628417185,Svačićev trg 76,Sesvete,10360,,+3851868282,+38591394699,,7436639387,BIJELI,Boškovićeva 100,10020,Zagreb-Novi,IDEAL,1/27/2017,003
Kovač,Marko,96515980208,8093090585817,616626847,Preradovićeva 97,Belovar,10363,"Kumičićeva 61, 10020 Zagreb-Novi Zagreb",+3851256877,,Marko.Kovac@gmail.com,1218802486,PLAVI,,,,IDEAL,1/23/2017,002
Barić,Mia,40013320560,,,Savska 15,Zagreb,10000,"Cesarčeva 56, 10250 Lučko",,+385917636935,Mia.Baric@gmail.com,8180016579,PLAVI,,,,IDEAL,1/16/2017,003
Kovačić,Petra,67458359727,,,Tomislavov trg 29,Zagreb-Susedgrad,10090,"Trg maršala Tita 44, 10360 Sesvete",+3851813813,+38591930214,Petra.Kovacic@yahoo.com,6829381102,BIJELI,,,,IDEAL,2/27/2017,005
Milić,Filip,29937785236,7592264421802,365800903,Branimirova 62,Sesvete-Kraljevec,10361,,+3851588330,,Filip.Milic@gmail.com,8305592929,BIJELI,,,,IDEAL,4/13/2017,001
Turković,Luka,15922411104,,,Šoštarićeva 45,Kašina,10362,"Pierottijeva 3, 10362 Kašina",+3851676569,,Luka.Turkovic@hotmail.com,7362524300,BIJELI,,,,IDEAL,4/27/2017,002
Tomić,Luka,53764473255,,758553823,Mihanovićeva 70,Donji Dragonožec,10253,"Rudolfa Matza 4, 10362 Kašina",+3851664903,+385911103601,Luka.Tomic@gmail.com,5832264272,PLAVI,,,,IDEAL,4/8/2017,005
Petrić,Ivano,17364571317,,605060503,Zavrtnica 7,Sesvete,10360,,,+385911692648,,2472342103,BIJELI,,,,BONUS,1/30/2017,002
Horvatić,Ana,77857921509,,222103394,Derenčinova 59,Donji Dragonožec,10253,,,+385996446418,Ana.Horvatic@gmail.com,4621087899,BIJELI,,,,IDEAL,4/6/2017,004
Vukić,Iva,88658736920,9563179643359,221518265,Degenova 84,Belovar,10363,,+3851842514,,,7953905496,BIJELI,,,,BONUS,1/10/2017,005
Jozić,Ivan,35702961745,6533898801385,871936828,Vodnikova 98,Sesvete-Kraljevec,10361,,,+38599611796,Ivan.Jozic@yahoo.com,4723162769,BIJELI,,,,IDEAL,3/8/2017,005
Galić,Leon,63698677319,,,Vrbanićeva 23,Zaprešić,10290,,,+385997195748,,4197060276,BIJELI,,,,IDEAL,1/13/2017,001
Cindrić,Luka,34295943529,,154984263,Blažekova 80,Kašina,10362,,,+385913813224,,1617245045,PLAVI,,,,IDEAL,4/19/2017,003
Anić,Sara,82196322930,9964712551799,349495091,Tvrtkova 73,Zaprešić,10290,,+3851772558,+385911315308,,1127958918,BIJELI,Švearova 53,10360,Sesvete,IDEAL,1/14/2017,003
Grgurić,Lucija,75144262209,,367585396,Nodilova 10,Sesvete-Kraljevec,10361,,+3851642343,,Lucija.Grguric@hotmail.com,3806370461,CRVENI,,,,IDEAL,4/17/2017,004
Novaković,Mia,83292251130,,440902108,Ive Paraća 42,Kašina,10362,"Varšavska 67, 10257 Brezovica",,+385911405014,,2380339417,CRVENI,,,,BONUS,3/17/2017,001
Lončarić,Mia,99115179568,,838769936,Zavojna 44,Zagreb-Novi Zagreb,10020,,+3851846976,,,6231637786,CRVENI,Pod zidom 67,10020,Zagreb-Novi,IDEAL,4/17/2017,003
Knežević,Ivano,84131336078,,,Skalinska 35,Zagreb-Novi Zagreb,10020,,+3851757385,+385913607971,,2740550055,CRVENI,,,,IDEAL,2/26/2017,004
Živković,Leon,25488825902,5961582118036,626348864,Medulićeva 21,Sesvete-Kraljevec,10361,,,+385917882386,,9379070341,BIJELI,,,,IDEAL,3/9/2017,003
Ivanković,Sara,41548978319,,,Starčevićev trg 95,Brezovica,10257,,+3851760198,+385913804124,,3285289970,BIJELI,,,,IDEAL,4/24/2017,003
Petričević,Petar,83457688212,1940504763429,,Jurišićeva 45,Hrvatski Leskovac,10251,"Huberta Pettana 15, 10020 Zagreb-Novi Zagreb",+3851168919,,,1705207605,BIJELI,,,,IDEAL,4/28/2017,001
Kolarić,Matej,57198372447,,,Štoosova 18,Ivanja Reka,10373,"Ivana Langa 64, 10361 Sesvete-Kraljevec",,+385913767247,Matej.Kolaric@yahoo.com,6167077174,BIJELI,,,,IDEAL,1/18/2017,003
Jozić,Ivan,74190761973,4000311146120,,Ulica kneza Mislava 39,Zaprešić,10290,"Kožarska 99, 10363 Belovar",,+385914551406,,1281320542,BIJELI,,,,IDEAL,1/22/2017,004
Grubišić,Ivan,00801262278,4516840904342,188809432,Ive Paraća 91,Brezovica,10257,,+3851524421,,,2163537050,PLAVI,,,,IDEAL,1/15/2017,002
Horvat,Ana,39375261474,9598718888640,473223595,Makančeva 68,Kašina,10362,,,+385995202165,Ana.Horvat@yahoo.com,7321142100,PLAVI,,,,KLASIK,1/18/2017,004
Brajković,Luka,86253023791,1310064241568,908439486,Laginjina 37,Kašina,10362,"Heinzelova 8, 10362 Kašina",+3851295737,+38591111332,,8824606965,BIJELI,,,,IDEAL,4/18/2017,004
Posavec,Filip,00925443332,6451446710957,579440767,Rokov perivoj 92,Sesvete-Kraljevec,10361,"Kružićeva 84, 10362 Kašina",,+385911031508,,2856790526,BIJELI,,,,IDEAL,2/27/2017,002
Marinović,Ivano,77134016078,,518218302,Petrićeva 80,Zaprešić,10290,,,+385996977335,,9744624939,BIJELI,,,,IDEAL,4/28/2017,004
Stanković,Marta,19356261893,1186282785924,834081654,"Karlovačka k.br. 1, 2 i 4 85",Sesvete,10360,,,+385996544054,Marta.Stankovic@hotmail.com,7594734248,PLAVI,,,,IDEAL,1/8/2017,003
Josipović,Ivan,40399286556,,,Iblerov trg 24,Donji Dragonožec,10253,,,+385995862682,Ivan.Josipovic@gmail.com,7077015950,BIJELI,,,,KLASIK,4/20/2017,001
Ivančić,Iva,35691475959,,,Huberta Pettana 23,Zagreb-Novi Zagreb,10020,,+3851114927,+385919468655,,1441802536,BIJELI,,,,KLASIK,1/20/2017,002
Vidaković,Luka,93885823966,9986899315148,,Bogišićeva 63,Brezovica,10257,"Ulica kneza Višeslava 37, 10362 Kašina",+3851364944,+385912315237,,6243906461,BIJELI,,,,IDEAL,1/29/2017,002
Prpić,Ema,33028824595,7060590924273,777295905,Stančićeva 9,Belovar,10363,,,+385991749544,,8955419013,PLAVI,,,,BONUS,1/15/2017,003
Vuković,Marko,72205453853,3437165599089,662899101,Skalinska 11,Sesvete,10360,,,+385995508877,Marko.Vukovic@yahoo.com,3028461840,BIJELI,,,,BONUS,4/23/2017,004
Petrić,Marko,10840902748,,,Savska 22,Sesvete-Kraljevec,10361,"Rokov perivoj 70, 10290 Zaprešić",+3851863454,+385918531186,,6457176737,PLAVI,,,,IDEAL,1/3/2017,002
Mijatović,Ana,09275762791,4475788675899,,Mladena Pozajića 79,Sesvete-Kraljevec,10361,"Stančićeva 63, 10360 Sesvete",,+385917728080,,8875848076,BIJELI,,,,IDEAL,1/23/2017,005
Šarić,Iva,64667301714,5589239576482,934076850,Crvenog križa 86,Sesvete,10360,"Branjugova 39, 10362 Kašina",+3851864285,,,4061895939,BIJELI,,,,IDEAL,2/11/2017,002
Starčević,Luka,71081554603,7218518182294,,Kožarska 35,Zagreb-Susedgrad,10090,"Dalmatinska 42, 10363 Belovar",+3851590334,,Luka.Starcevic@yahoo.com,5733238566,PLAVI,,,,IDEAL,4/30/2017,003
Marić,Luka,20828133532,,111367430,Ulica Ivana Gorana Kovačića 97,Sesvete-Kraljevec,10361,,+3851190580,,Luka.Maric@yahoo.com,3250341561,BIJELI,,,,BONUS,3/2/2017,001
Sever,Marta,55551974845,,943156296,Klaićeva 41,Ivanja Reka,10373,"Preobraženska 89, 10360 Sesvete",,+38599953454,Marta.Sever@yahoo.com,1646735506,BIJELI,,,,BONUS,4/22/2017,004
Jakšić,Matej,48884161413,,,Ulica kneza Domagoja 1,Belovar,10363,,,+38599248685,Matej.Jaksic@gmail.com,4312417577,BIJELI,,,,KLASIK,2/8/2017,003
Mandić,Matej,65075910960,2336794448351,989012222,Štoosova 71,Sesvete-Kraljevec,10361,,+3851414286,,Matej.Mandic@hotmail.com,2223799581,PLAVI,,,,IDEAL,3/13/2017,001
Sever,Ivano,22039989427,,382253174,Prolaz sestara Baković 10,Brezovica,10257,,+3851278272,,Ivano.Sever@yahoo.com,9286133646,PLAVI,,,,BONUS,4/7/2017,005
Mijatović,Filip,69329730150,1211456647120,866443149,Prolaz sestara Baković 60,Zagreb-Novi Zagreb,10020,,+3851420144,+385913603315,,2775063891,PLAVI,,,,IDEAL,2/3/2017,001
Janković,Lana,42425246202,,702019559,Amruševa 13,Kašina,10362,"Kvaternikov trg 68, 10253 Donji Dragonožec",+3851320322,+385919976685,,5725927479,BIJELI,,,,IDEAL,4/22/2017,002
Vukelić,Ema,87588554401,3456779213508,,Martićeva 4,Donji Dragonožec,10253,,+3851127624,+385912124393,Ema.Vukelic@gmail.com,6256754490,BIJELI,,,,IDEAL,1/30/2017,002
Petrić,Iva,14876429709,,,Ulica kneza Domagoja 96,Sesvete-Kraljevec,10361,"Bogovićeva 89, 10257 Brezovica",,+385915807776,Iva.Petric@yahoo.com,8649788370,PLAVI,,,,IDEAL,2/20/2017,001
Lučić,Marko,57963861522,3126515345458,935085536,Haulikova 17,Sesvete-Kraljevec,10361,,,+385913372874,,6138024457,PLAVI,,,,BONUS,1/19/2017,003
Josipović,Marta,48286321021,,362419941,Kožarska 64,Brezovica,10257,"Splavnica 49, 10257 Brezovica",+3851612447,,Marta.Josipovic@hotmail.com,1724074878,BIJELI,,,,BONUS,1/18/2017,003
Petrić,Jakov,80664077050,7473733112170,459731709,Gundulićeva 13,Kašina,10362,,+3851361844,,,3297099084,BIJELI,,,,IDEAL,1/16/2017,005
Vlahović,Ema,88653626725,2072278626141,381644070,Borisa Ulricha 100,Sesvete-Kraljevec,10361,,,+385993071681,,1349115571,BIJELI,,,,IDEAL,3/5/2017,002
Bošnjak,Iva,60841705696,,,Botićev trg 77,Brezovica,10257,,+3851390848,+385916859351,,5190474403,BIJELI,,,,IDEAL,1/19/2017,005
Pavlić,Petra,21330246399,,,Dežmanova 91,Brezovica,10257,,+3851107126,,,8331065817,PLAVI,,,,IDEAL,2/25/2017,003
Brkić,Sara,20780446303,4179842255227,296587544,Frankopanska 84,Belovar,10363,,+3851877545,,Sara.Brkic@hotmail.com,7424422925,PLAVI,,,,IDEAL,3/13/2017,005
Matković,Petra,86099581103,,,Trg bana J. Jelačića 100,Belovar,10363,"Livadićeva 40, 10360 Sesvete",+3851968731,+385917927141,,2883352017,BIJELI,,,,IDEAL,2/27/2017,001
Vidović,Sara,31347637672,,772451591,Runjaninova 16,Sesvete-Kraljevec,10361,,+3851809260,+385917506420,Sara.Vidovic@yahoo.com,5631341103,BIJELI,,,,KLASIK,2/15/2017,004
Nikolić,Sara,48933534503,,,Dežmanova 54,Ivanja Reka,10373,"Trg Vladka Mačeka 59, 10020 Zagreb-Novi Zagreb",,+385998595652,Sara.Nikolic@gmail.com,2469239466,BIJELI,,,,IDEAL,1/22/2017,004
Novosel,Ana,71367874701,,,Trg svibanjskih žrtava 1995. 95,Sesvete,10360,,+3851920931,,,2790488297,PLAVI,Vukotinovićeva 70,10362,Kašina,BONUS,4/8/2017,002
Martić,Leon,65149887719,,,144. brigade Hrvatske vojske 10,Zagreb-Novi Zagreb,10020,,+3851457546,,,2837169517,CRVENI,,,,IDEAL,3/31/2017,001
ćosić,Lucija,47675208436,1142537182210,661198074,Harmica 58,Sesvete-Kraljevec,10361,"Branjugova 82, 10360 Sesvete",,+385914899808,Lucija.cosic@yahoo.com,8242522693,BIJELI,,,,IDEAL,1/30/2017,001
Ivić,Mia,11929795957,6262145470762,,Zavojna 16,Kašina,10362,,+3851194516,+385915745946,Mia.Ivic@yahoo.com,2910099950,BIJELI,,,,IDEAL,5/1/2017,002
Jurić,Ivan,94704078905,,,Savska 62,Brezovica,10257,"Kurelčeva 1, 10361 Sesvete-Kraljevec",,+385918929588,Ivan.Juric@gmail.com,6315204886,BIJELI,,,,IDEAL,4/3/2017,002
Antunović,Marko,09148091971,7265614767300,,Tuškanova 21,Sesvete,10360,,+3851841287,,,7717752963,BIJELI,,,,KLASIK,2/20/2017,001
Baričević,Ana,90694080390,,,Laginjina 100,Kašina,10362,,+3851575235,+385917141975,,9065827043,PLAVI,,,,BONUS,4/2/2017,002
Delić,Ivan,08281864856,5307009996569,,Savska 16,Brezovica,10257,"Utješinovićeva 38, 10257 Brezovica",,+385913859969,Ivan.Delic@yahoo.com,4322890523,BIJELI,,,,IDEAL,1/27/2017,004
Baričević,Petra,94062435654,4370722178610,,Vlaška 76,Kašina,10362,,+3851362865,,Petra.Baricevic@hotmail.com,4285302007,BIJELI,,,,IDEAL,4/18/2017,004
Babić,Filip,07510934721,4234791699062,,Streljačka 87,Sesvete-Kraljevec,10361,"Mikloušićeva 75, 10362 Kašina",+3851115990,+385911054799,Filip.Babic@yahoo.com,8690388325,BIJELI,,,,IDEAL,1/22/2017,001
Ban,Filip,08583914640,1990040133488,,Ilica 82,Zagreb-Novi Zagreb,10020,,,+385919983139,Filip.Ban@gmail.com,3406408425,BIJELI,,,,IDEAL,1/8/2017,001
Jozić,Ana,31105018470,,295999047,Ljudevita Posavskog 36,Sesvete-Kraljevec,10361,,,+385919768164,,8259127529,BIJELI,,,,KLASIK,2/9/2017,002
Horvat,Marta,69668462413,4822768674822,,Strossmayerov trg 1,Sesvete-Kraljevec,10361,,,+385993075527,,4059416773,BIJELI,Fabkovićeva 59,10360,Sesvete,KLASIK,2/21/2017,002
Bogdan,Sara,15830424798,7923729556347,937261746,Ilica 60,Donji Dragonožec,10253,,+3851517166,+385917554586,,7372419924,BIJELI,,,,IDEAL,2/5/2017,003
Marić,Marko,71850971060,,958650707,Krešimira Kovačevića 66,Kašina,10362,"Mrazovićeva 44, 10090 Zagreb-Susedgrad",,+385991785228,,4952247936,PLAVI,,,,IDEAL,2/25/2017,004
Novaković,Ivan,73082606015,,,Deželićeva 67,Sesvete,10360,"Rokova ulica 84, 10360 Sesvete",,+385918578930,Ivan.Novakovic@gmail.com,5213083162,BIJELI,,,,IDEAL,3/29/2017,002
Janković,Sara,60457641707,6768713206704,162909921,Ulica kneza Domagoja 11,Lučko,10250,"Mrazovićeva 95, 10020 Zagreb-Novi Zagreb",+3851903556,+385919597016,Sara.Jankovic@gmail.com,9713021270,BIJELI,Perkovčeva 49,10362,Kašina,IDEAL,4/13/2017,002
Bošnjak,Jakov,44839351525,9447401232122,619380020,Varšavska 80,Sesvete,10360,,+3851617645,,,2097593976,BIJELI,,,,BONUS,4/24/2017,002
Abramović,Ivan,97291699718,1193341853861,,Trg žrtava fašizma 88,Zagreb-Novi Zagreb,10020,,,+385999198427,Ivan.Abramovic@yahoo.com,4116438076,BIJELI,,,,IDEAL,3/30/2017,003
Vlašić,Petar,59736417151,5772848979429,,Tomislavov trg 32,Kašina,10362,,+3851566523,,Petar.Vlasic@yahoo.com,7038916648,BIJELI,,,,IDEAL,2/14/2017,002
Dujmović,Petra,61471101692,,,Varšavska 75,Sesvete-Kraljevec,10361,,+3851695156,+385911905692,Petra.Dujmovic@yahoo.com,8655476021,BIJELI,,,,IDEAL,3/17/2017,003
Bogdan,Lucija,57198941854,,856238769,Kružićeva 38,Sesvete-Kraljevec,10361,,+3851190473,+385911782942,Lucija.Bogdan@gmail.com,2091337472,BIJELI,,,,IDEAL,1/13/2017,005
Lukić,Leon,73224511966,9961607289740,,Kačićeva 60,Brezovica,10257,,,+38599499165,,6650881638,PLAVI,,,,KLASIK,3/27/2017,001
Prpić,Ema,39501212795,6692938576145,427284325,Zvonimirova 36,Hrvatski Leskovac,10251,,,+385918264443,,2934186966,BIJELI,,,,IDEAL,4/6/2017,003
Vlahović,Nika,39707332716,5776655685096,825749788,Kordunska 17,Ivanja Reka,10373,,+3851225479,,Nika.Vlahovic@yahoo.com,8138600431,PLAVI,,,,BONUS,4/7/2017,001
Novaković,Nika,23049957285,4207900012847,,Hrvojeva 69,Zagreb,10000,,+3851846337,+385919781444,,4127262885,CRVENI,,,,IDEAL,4/11/2017,004
Perić,Leon,24418229305,1519673546458,443099439,Novakova 99,Sesvete-Kraljevec,10361,"Deželićeva 70, 10361 Sesvete-Kraljevec",,+385914829418,,4464026415,PLAVI,,,,IDEAL,1/1/2017,005
Mandić,Mia,90679430556,5917626064152,297727572,Trg Vladka Mačeka 15,Kašina,10362,,,+38591889623,,4845577184,PLAVI,,,,IDEAL,1/7/2017,005
Starčević,Leon,97156671892,7913339343884,,Ulica Vladimira Nazora 68,Sesvete,10360,,,+385913679501,Leon.Starcevic@gmail.com,9829848829,PLAVI,,,,IDEAL,4/30/2017,002
Majić,Marko,13111569142,,903118151,Križanićeva 4,Zagreb-Novi Zagreb,10020,,,+385919665607,,2998844664,CRVENI,,,,IDEAL,2/25/2017,002
Ilić,Luka,97344561803,,,Bauerova 58,Brezovica,10257,,,+385916141135,Luka.Ilic@gmail.com,8588214514,BIJELI,,,,KLASIK,2/2/2017,005
Jurišić,Sara,73289098481,,559257949,Ulica kneza Mislava 30,Sesvete-Kraljevec,10361,"Rokov perivoj 100, 10363 Belovar",,+385911795915,Sara.Jurisic@yahoo.com,8543606890,BIJELI,Rimski put 56,10290,Zaprešić,IDEAL,3/9/2017,003
Baričević,Petar,51857302025,2997128522577,,Babukićeva 95,Donji Dragonožec,10253,"Varšavska 73, 10360 Sesvete",,+385912875850,,5510234218,BIJELI,,,,BONUS,4/10/2017,003
Novak,Lucija,07041561260,,978007629,Trg žrtava fašizma 12,Kašina,10362,"Dolac 28, 10360 Sesvete",+3851474346,+385915978612,,2604610116,BIJELI,,,,KLASIK,1/26/2017,001
Novosel,Leon,66021822232,6256763685234,129479205,Utješinovićeva 87,Belovar,10363,,,+385919025793,,5256787266,BIJELI,Kordunska 100,10020,Zagreb-Novi,IDEAL,3/1/2017,002
Vlahović,Marta,92694016823,1979186335630,371188724,Jurjevska 58,Sesvete-Kraljevec,10361,,,+385918457528,,2747602966,BIJELI,,,,BONUS,4/16/2017,005
Kos,David,36528907379,,228212110,Račkoga 100,Sesvete-Kraljevec,10361,,,+385912221355,,6228006059,CRVENI,Bakačeva 28,10362,Kašina,IDEAL,1/9/2017,001
Matković,Marko,06958214221,,,Smičiklasova 86,Kašina,10362,"Makančeva 39, 10257 Brezovica",,+385918854212,,1138463510,BIJELI,,,,BONUS,1/23/2017,004
Kovačić,Luka,71715106046,,,Ulica kneza Trpimira 89,Zagreb-Novi Zagreb,10020,,,+385914104530,,7792012229,BIJELI,,,,IDEAL,3/26/2017,004
Klarić,Iva,43249278508,,129443744,Livadićeva 3,Sesvete,10360,,,+385992569166,Iva.Klaric@yahoo.com,1330617684,BIJELI,,,,BONUS,1/1/2017,002
Pranjić,Ivan,24337091323,2812072066026,788249575,Livadićeva 60,Zagreb-Dubrava,10040,,,+385919435050,,8505705204,PLAVI,Ulica baruna Trenka 28,10361,Sesvete-Kraljevec,KLASIK,2/5/2017,002
Vidović,Nika,09837077548,,524379795,Teslina 71,Sesvete,10360,,,+385912054697,,7093983794,CRVENI,Ožegovićeva 9,10253,Donji,IDEAL,3/1/2017,005
Đurić,Matej,83062853101,3575569507627,681915522,Ulica kneza Borne 60,Zagreb-Novi Zagreb,10020,"Ulica Bartola Kašića 54, 10362 Kašina",+3851971805,+385917275248,Matej.duric@yahoo.com,6697921374,BIJELI,,,,BONUS,2/23/2017,003
Petrović,Marta,03060951616,3869116809790,669733617,Jurjevska 16,Donji Dragonožec,10253,,,+385916995234,Marta.Petrovic@gmail.com,3563322616,PLAVI,,,,IDEAL,2/4/2017,003
